,banksy_niche,core_global,curl,elongation,purity,linearity
217,1,tma3_C3,0.0,0.35104387615534116,0.9210526315789473,0.7838619856886475
218,1,tma3_C3,0.0,0.06502970273908537,0.470873786407767,0.8377299299540008
219,1,tma3_C3,0.0,0.4803218745551474,1.0,1.0
220,1,tma3_C3,0.0,0.4790840384474915,1.0,1.0
221,1,tma3_C3,0.0,0.7272276450983322,0.5113636363636364,1.0
222,1,tma3_C3,0.0,0.4749704050995808,1.0,1.0
223,1,tma3_C3,0.0,0.4226235953122419,0.6595744680851063,0.8772135885226422
224,1,tma3_C3,0.0,0.4120695787253118,0.48739495798319327,0.8175493560942705
225,1,tma3_C3,0.0,0.26375634079166876,0.6197183098591549,0.8282054688088634
226,1,tma3_C3,0.0,0.3410032276731416,0.6,0.9200928620463296
227,1,tma3_C3,0.0,0.4792647142651695,0.9375,0.7859397745661071
228,1,tma3_C3,0.0,0.11393070129486638,0.8823529411764706,0.6999863635747952
229,1,tma3_D3,0.0,0.20525694979475373,0.6739130434782609,0.8443573613164757
230,1,tma3_D3,0.0,0.5054955439324245,0.6666666666666666,1.0
231,1,tma3_D3,0.0,0.5363006692733573,0.78125,1.0
232,1,tma3_D3,0.0,0.2881423299544045,1.0,1.0
233,1,tma3_D3,0.0,0.6117922562513195,0.9459459459459459,0.8829487419225164
234,1,tma3_D3,0.0,0.6134366667373694,1.0,1.0
235,1,tma3_D3,0.0,0.2626198082119118,0.8,0.7995222423661831
236,1,tma3_D3,0.0,0.22631219765193744,0.8260869565217391,0.7240301905434506
237,1,tma3_D3,0.0,0.49962415082742184,0.7878787878787878,0.8175633496132358
238,1,tma3_D3,0.0,0.6296572764136861,0.9565217391304348,1.0
239,1,tma3_D3,0.0,0.2982470459880281,0.9473684210526315,0.7581066432601056
240,1,tma3_C3,0.0,0.3546258090323936,0.6326530612244898,1.0
241,1,tma3_C3,0.0,0.6117128935053722,0.46551724137931033,1.0
242,1,tma3_C3,0.0,0.7133463878653536,0.6956521739130435,1.0
243,1,tma3_C3,0.0,0.2550864747199091,0.6363636363636364,0.8021958269474645
244,1,tma3_C3,0.0,0.6353718557609819,0.9310344827586207,1.0
245,1,tma3_C3,0.0,0.09671868165879283,0.9714285714285714,1.0
246,1,tma3_C3,0.0,0.644386391656498,0.6808510638297872,0.9372651768591674
247,1,tma3_C3,0.0,0.2546657911030228,0.8888888888888888,1.0
248,1,tma3_D3,0.0,0.5221638018883923,0.8,0.849503366050238
249,1,tma3_F3,0.0,0.04578032450921565,0.35141509433962265,0.7430865913961032
250,1,tma3_F3,0.0,0.4290527360953629,0.49514563106796117,0.7821778166512668
251,1,tma3_F3,0.0,0.6224921751345089,0.9032258064516129,1.0
252,1,tma3_F3,0.0,0.3961341631960912,0.7727272727272727,0.8430720241260012
